date,open,high,low,close
2026-05-22,422.6700134277344,431.510009765625,420.510009765625,426.010009765625
2026-05-26,430.260009765625,435.20001220703125,426.1199951171875,433.5899963378906
2026-05-27,442.8900146484375,445.6000061035156,435.5199890136719,440.3599853515625
2026-05-28,437.6199951171875,443.9599914550781,436.29998779296875,442.1000061035156
2026-05-29,439.8500061035156,441.07000732421875,428.1400146484375,435.7900085449219
2026-06-01,427.489990234375,429.6000061035156,415.42999267578125,415.8800048828125
2026-06-02,418.2200012207031,424.4200134277344,413.6499938964844,423.739990234375
2026-06-03,418.70001220703125,433.6000061035156,416.0,423.70001220703125
2026-06-04,419.8399963378906,426.3500061035156,417.1600036621094,418.45001220703125
2026-06-05,420.5,424.67999267578125,388.5899963378906,391.0
2026-06-08,396.3299865722656,412.94000244140625,394.7200012207031,408.95001220703125
2026-06-09,411.0299987792969,418.5,384.239990234375,396.67999267578125
2026-06-10,391.5400085449219,397.0899963378906,380.1499938964844,381.5899963378906
2026-06-11,388.2799987792969,399.5400085449219,380.6600036621094,399.1499938964844
2026-06-12,399.489990234375,406.67999267578125,386.760009765625,406.42999267578125
2026-06-15,412.3699951171875,416.0,407.1000061035156,411.1499938964844
2026-06-16,404.1099853515625,412.4200134277344,400.5400085449219,404.6600036621094
2026-06-17,401.5299987792969,405.94000244140625,393.760009765625,396.3800048828125
2026-06-18,398.1000061035156,402.5199890136719,384.70001220703125,400.489990234375
2026-06-22,394.8500061035156,414.75,394.3999938964844,405.04998779296875
2026-06-23,392.6099853515625,392.8699951171875,379.05999755859375,381.6099853515625
2026-06-24,380.0799865722656,384.5799865722656,373.04998779296875,375.5299987792969
2026-06-25,375.2699890136719,379.1199951171875,371.2200012207031,375.1199951171875
2026-06-26,370.1499938964844,387.79998779296875,368.6000061035156,379.7099914550781
2026-06-29,381.7900085449219,413.2699890136719,379.29998779296875,411.8399963378906
2026-06-30,406.0,424.5400085449219,406.0,420.6000061035156
2026-07-01,421.4599914550781,432.8599853515625,418.0899963378906,425.29998779296875
2026-07-02,428.010009765625,432.3500061035156,389.29998779296875,393.45001220703125
2026-07-06,397.5,420.0,390.5,419.7699890136719
2026-07-07,416.9599914550781,419.55999755859375,401.8800048828125,402.8999938964844
2026-07-08,399.3800048828125,399.6300048828125,390.510009765625,394.05999755859375
2026-07-09,393.989990234375,407.8599853515625,390.8599853515625,406.54998779296875
2026-07-10,410.489990234375,413.1600036621094,402.80999755859375,407.760009765625
2026-07-13,404.6099853515625,405.57000732421875,391.3699951171875,394.760009765625
2026-07-14,399.04998779296875,402.2200012207031,394.760009765625,396.17999267578125
2026-07-15,399.3999938964844,406.5899963378906,390.6600036621094,394.4599914550781
2026-07-16,392.3500061035156,395.30999755859375,385.32000732421875,391.05999755859375
2026-07-17,381.7799987792969,385.69000244140625,377.2200012207031,380.8399963378906
2026-07-20,386.04998779296875,386.6099853515625,369.42999267578125,369.57000732421875
2026-07-21,371.1700134277344,384.07000732421875,369.9800109863281,378.92999267578125
2026-07-22,375.5299987792969,380.1700134277344,372.8999938964844,374.010009765625
2026-07-23,341.0,342.1099853515625,315.739990234375,319.69000244140625
2026-07-24,320.7200012207031,322.9599914550781,306.510009765625,313.0299987792969
2026-07-27,313.239990234375,317.0,304.2799987792969,309.2200012207031
2026-07-28,305.92999267578125,311.1600036621094,300.69000244140625,307.44000244140625
2026-07-29,307.1400146484375,309.05999755859375,297.3800048828125,298.32000732421875
2026-07-30,302.70001220703125,310.8699951171875,301.3299865722656,308.8500061035156
2026-07-31,309.69000244140625,315.5,301.9700012207031,311.2099914550781
2026-08-03,310.9599914550781,324.6499938964844,310.42999267578125,322.0799865722656
2026-08-04,324.0,329.57000732421875,320.7900085449219,327.3500061035156
2026-08-05,323.4200134277344,327.1400146484375,320.2799987792969,321.54998779296875
2026-08-06,317.04998779296875,323.0,315.5199890136719,319.5299987792969
2026-08-07,322.3399963378906,333.7300109863281,321.25,328.5799865722656
2026-08-10,326.6000061035156,332.04998779296875,326.1499938964844,330.8800048828125
2026-08-11,332.79998779296875,336.20001220703125,329.5299987792969,332.80999755859375
2026-08-12,335.0,335.5,323.6400146484375,327.510009765625
2026-08-13,327.20001220703125,341.6400146484375,325.239990234375,339.9599914550781
2026-08-14,342.3299865722656,351.260009765625,335.3299865722656,342.2699890136719
2026-08-17,340.69000244140625,345.45001220703125,337.4800109863281,339.29998779296875
2026-08-18,333.2200012207031,340.5299987792969,331.1199951171875,336.8699951171875
2026-08-19,338.8900146484375,351.6199951171875,335.70001220703125,351.1199951171875
2026-08-20,346.20001220703125,347.5,338.9599914550781,345.1300048828125
2026-08-21,349.8800048828125,366.5,346.8999938964844,362.8599853515625
2026-08-24,361.4100036621094,363.239990234375,348.260009765625,348.95001220703125
2026-08-25,349.5799865722656,357.0,349.20001220703125,350.25
2026-08-26,345.2699890136719,351.92999267578125,342.5299987792969,345.82000732421875
2026-08-27,346.1600036621094,355.739990234375,345.45001220703125,354.80999755859375
2026-08-28,357.1000061035156,358.79998779296875,345.20001220703125,348.75
2026-08-31,347.2099914550781,368.9200134277344,347.1499938964844,367.95001220703125
