date,open,high,low,close
2026-05-22,746.239990234375,748.9400024414062,744.47998046875,745.6400146484375
2026-05-26,750.010009765625,752.1300048828125,748.3699951171875,750.5900268554688
2026-05-27,750.8800048828125,751.3800048828125,748.219970703125,750.4600219726562
2026-05-28,750.25,755.1500244140625,749.22998046875,754.5999755859375
2026-05-29,755.9000244140625,758.0800170898438,754.6900024414062,756.47998046875
2026-06-01,755.3599853515625,760.280029296875,754.6900024414062,758.5399780273438
2026-06-02,757.030029296875,760.4000244140625,756.75,759.5700073242188
2026-06-03,758.1500244140625,758.7999877929688,753.5700073242188,754.239990234375
2026-06-04,752.0999755859375,758.3099975585938,751.469970703125,757.0900268554688
2026-06-05,752.3099975585938,752.8200073242188,735.530029296875,737.5499877929688
2026-06-08,743.3599853515625,745.3400268554688,738.1900024414062,739.219970703125
2026-06-09,743.6300048828125,746.9000244140625,722.5900268554688,737.0499877929688
2026-06-10,733.3900146484375,738.3800048828125,725.3300170898438,725.4299926757812
2026-06-11,728.760009765625,740.0,724.4099731445312,737.760009765625
2026-06-12,740.7100219726562,744.4400024414062,735.030029296875,741.75
2026-06-15,751.8499755859375,756.6799926757812,751.760009765625,754.8300170898438
2026-06-16,754.5499877929688,755.4400024414062,749.8800048828125,750.3300170898438
2026-06-17,751.2899780273438,752.1500244140625,739.219970703125,740.9600219726562
2026-06-18,747.760009765625,748.22998046875,743.8599853515625,746.739990234375
2026-06-22,747.7000122070312,750.1799926757812,743.1300048828125,744.3900146484375
2026-06-23,733.8099975585938,739.6300048828125,732.2999877929688,733.5800170898438
2026-06-24,735.1699829101562,739.9500122070312,730.8400268554688,733.239990234375
2026-06-25,738.9099731445312,739.3699951171875,729.5999755859375,734.2999877929688
2026-06-26,728.9500122070312,736.530029296875,716.5800170898438,728.989990234375
2026-06-29,736.530029296875,741.5599975585938,732.0900268554688,741.0
2026-06-30,741.2899780273438,748.02001953125,740.8900146484375,746.77001953125
2026-07-01,745.0,749.4400024414062,742.3800048828125,745.760009765625
2026-07-02,747.4000244140625,751.3099975585938,740.030029296875,744.780029296875
2026-07-06,748.739990234375,752.4099731445312,747.4099731445312,751.280029296875
2026-07-07,750.219970703125,750.9600219726562,745.2100219726562,747.7100219726562
2026-07-08,743.1599731445312,746.1500244140625,739.510009765625,745.4000244140625
2026-07-09,747.3499755859375,751.969970703125,745.5900268554688,751.7100219726562
2026-07-10,752.0499877929688,755.4199829101562,748.0999755859375,754.9500122070312
2026-07-13,752.469970703125,753.9099731445312,748.0,749.1699829101562
2026-07-14,750.9099731445312,753.3400268554688,748.6599731445312,751.8300170898438
2026-07-15,754.239990234375,755.5800170898438,750.2000122070312,754.8099975585938
2026-07-16,752.760009765625,754.5700073242188,747.8800048828125,750.719970703125
2026-07-17,742.0800170898438,747.2899780273438,740.7999877929688,743.2899780273438
2026-07-20,747.0599975585938,748.72998046875,741.510009765625,742.0900268554688
2026-07-21,746.2899780273438,749.0399780273438,744.1799926757812,748.280029296875
2026-07-22,746.6199951171875,750.02001953125,746.3699951171875,747.4099731445312
2026-07-23,739.3699951171875,742.5599975585938,735.2100219726562,738.1799926757812
2026-07-24,738.510009765625,743.719970703125,737.2899780273438,738.9299926757812
2026-07-27,744.9099731445312,745.530029296875,735.8699951171875,739.0900268554688
2026-07-28,739.1900024414062,742.7899780273438,735.97998046875,740.8599853515625
2026-07-29,739.969970703125,742.6799926757812,729.0999755859375,729.4600219726562
2026-07-30,736.0499877929688,742.4500122070312,734.5900268554688,741.6900024414062
2026-07-31,744.6799926757812,748.9000244140625,737.6799926757812,747.030029296875
2026-08-03,749.4400024414062,758.5800170898438,748.7999877929688,757.6699829101562
2026-08-04,760.6300048828125,773.4099731445312,760.52001953125,771.3300170898438
2026-08-05,775.8499755859375,776.8499755859375,769.510009765625,769.7899780273438
2026-08-06,770.2100219726562,771.8200073242188,767.4600219726562,768.5599975585938
2026-08-07,771.02001953125,773.9199829101562,769.6099853515625,773.260009765625
2026-08-10,772.5999755859375,775.0499877929688,771.6199951171875,773.030029296875
2026-08-11,774.530029296875,774.6099853515625,769.2000122070312,770.5599975585938
2026-08-12,774.7100219726562,774.9000244140625,771.280029296875,772.489990234375
2026-08-13,774.8699951171875,779.3699951171875,774.1099853515625,777.8800048828125
2026-08-14,778.5399780273438,778.7999877929688,775.4299926757812,776.3400268554688
2026-08-17,776.1799926757812,776.780029296875,772.510009765625,772.6699829101562
2026-08-18,768.7000122070312,769.5,766.9199829101562,767.4500122070312
2026-08-19,770.3599853515625,772.469970703125,768.0999755859375,769.0599975585938
2026-08-20,765.9600219726562,768.1500244140625,762.0399780273438,762.5999755859375
2026-08-21,766.0499877929688,767.8499755859375,764.1699829101562,765.719970703125
2026-08-24,764.780029296875,765.219970703125,762.0800170898438,763.469970703125
2026-08-25,766.1599731445312,766.780029296875,763.0499877929688,765.9099731445312
2026-08-26,764.72998046875,767.3499755859375,763.9299926757812,766.0800170898438
2026-08-27,768.5,772.3599853515625,767.1599731445312,771.0999755859375
2026-08-28,771.760009765625,775.2999877929688,768.3099975585938,769.3499755859375
2026-08-31,767.3300170898438,768.0,764.719970703125,767.0499877929688
2026-09-01,762.010009765625,764.6699829101562,759.47998046875,761.780029296875
2026-09-02,762.4500122070312,766.4299926757812,761.72998046875,765.1599731445312
2026-09-03,767.9000244140625,774.030029296875,767.4500122070312,773.1699829101562
2026-09-04,772.010009765625,772.8699951171875,769.0,770.1900024414062
2026-09-08,769.0700073242188,769.7000122070312,765.1400146484375,765.9600219726562
2026-09-09,764.0800170898438,764.469970703125,760.9400024414062,762.4000244140625
2026-09-10,758.030029296875,760.1099853515625,756.6400146484375,757.8300170898438
2026-09-11,764.719970703125,766.3800048828125,763.5999755859375,764.2899780273438
2026-09-14,759.0,763.52001953125,757.9299926757812,760.8800048828125
2026-09-15,760.1199951171875,760.3499755859375,756.1500244140625,757.3900146484375
2026-09-16,759.5,761.6699829101562,749.5999755859375,754.0499877929688
2026-09-17,763.1500244140625,763.5700073242188,759.9600219726562,762.5999755859375
2026-09-18,761.3099975585938,762.0,757.969970703125,761.6900024414062
2026-09-21,766.2509765625,774.8900146484375,766.030029296875,773.5
